ID,isocountrycode,rd2015,rd2014,rd2013,rd2012,rd2011,ns2015,ns2014,ns2013,ns2012,ns2011,emp2015,emp2014,emp2013,emp2012,emp2011,pubs.2011,pubs.2012,pubs.2013,pubs.2014,pubs.2015
ID0154,GB,92.18544359,81.55784003,56.95915,49.197421,47.406253,534.3651051,439.1943418,346.889583,279.064012,235.240096,1182,986,776,569,498,23,21,25,15,14
ID0155,GB,60.65969405,65.0790961,56.123272,56.069537,48.958599,775.5661703,807.7330843,674.445296,673.408807,619.688089,2208,2205,2039,1960,1851,103,141,128,181,156
ID0156,US,112.6750026,85.87126808,54.909,34.22522,8.533102,0.22986014,NA,NA,NA,NA,119,108,62,37,18,0,2,6,15,21
ID0157,JP,70.70891494,59.53277431,54.331647,44.512011,41.013851,NA,2238.652663,2071.020458,1659.697528,1459.951257,24243,23153,21826,19327,14566,4,6,10,4,4
ID0158,US,NA,NA,53.159308,21.329853,11.841056,NA,NA,9.697629,10.843304,1.522007,NA,NA,172,115,82,2,6,9,19,13
ID0159,PT,33.047086,44.909112,53.074081,59.102809,57.502766,215.114852,204.309409,199.522635,158.599936,124.298683,NA,NA,NA,NA,NA,52,57,49,44,66
ID0160,US,84.13463264,73.95914488,52.704664,44.963383,34.305707,390.5273981,340.9044007,290.981082,240.165331,201.272574,1700,1400,1200,945,717,20,7,15,4,12
ID0161,DK,28.53458485,41.2613335,52.246223,35.098744,59.212386,344.1565671,325.9377391,300.616727,314.147159,314.549053,1896,1844,1763,1855,1781,53,54,36,30,22
ID0162,US,39.31406987,49.45619463,52.106448,35.829165,25.185266,NA,NA,NA,0.106591,5.499239,NA,110,134,124,122,12,22,29,33,20
ID0163,CN,98.6479935,68.1721349,51.998907,36.364015,22.508443,1485.555754,1418.551311,1178.909138,864.833976,754.757952,17842,18081,16791,14357,13192,0,0,0,1,1
ID0164,GB,36.59055249,36.05686824,51.988061,42.74962,15.663839,59.28217775,39.30246527,18.962501,NA,NA,210,201,185,111,31,6,4,6,3,6
ID0165,SE,57.65289738,36.63232938,51.437613,45.337193,62.728876,364.3580703,294.2732172,245.702537,217.084044,215.692587,672,589,546,514,517,3,5,6,11,8
ID0166,JP,59.07500936,68.05180732,51.40293,38.768391,36.554855,430.1822561,420.1561427,426.918868,367.154153,366.133234,1799,1426,1322,1298,1297,5,8,5,10,10
ID0167,US,NA,NA,51.361759,54.12443,53.868466,NA,NA,205.747232,236.045253,92.888118,NA,NA,755,1050,1475,20,25,31,16,15
ID0168,DK,59.21261268,52.11252837,50.772611,41.930943,51.174505,1863.321794,1664.921585,1558.678973,1476.692593,1362.688656,9535,9071,8412,7875,7372,7,8,8,5,5
ID0169,IN,74.56420874,56.83145669,50.186179,53.091448,41.142358,NA,995.4701506,827.064482,721.069022,596.283033,16153,13180,15390,15025,1100,28,22,14,14,15
ID0170,US,NA,NA,50.147924,40.22116,38.501923,NA,NA,285.46009,276.895084,249.108845,NA,NA,1800,1565,1289,5,3,5,1,4
ID0171,KR,65.64614988,51.55209752,50.127717,48.543384,41.118456,778.6760438,717.9991781,644.656141,588.508377,561.972931,NA,NA,NA,NA,NA,19,7,13,5,4
ID0172,US,55.82049696,57.36643018,49.926765,51.657604,47.019072,623.935563,432.201674,370.895521,421.791034,371.923003,1290,1061,973,1125,1002,2,1,8,2,7
